Transaction Time (CET),Transaction Category,Transaction Type,Transfer Type,Transaction Amount,Transaction Currency,Cash Balance Amount,Asset Id,Asset Name,Asset Quantity,Asset Price,Asset Currency,Currency Pair,Exchange Rate,Profit And Loss Amount,Profit And Loss Currency,Dividend Currency,Dividend Gross Amount,Dividend Net Amount,Dividend Tax Amount,Transaction Description
2022-02-01 08:37:50.127000,deposits,Sepa Deposit,CASH_CREDIT,100.0,EUR,100.0,,,,,,,,,,,,,,
2022-02-02 17:14:20.526000,trades,Buy Trade,CASH_DEBIT,-25.0,EUR,75.0,US0378331005,Apple,0.161834,174.0,USD,EURUSD,1.12637,,,,,,,Order Partial Id: a9689c9c-be24-4478-8c9b-5af46c73799a - 1
2022-02-02 17:14:20.526000,trades,Buy Trade,ASSET_TRADE_BUY,28.16,USD,,US0378331005,Apple,0.161834,174.00546239,USD,,,,,,,,,Order Partial Id: a9689c9c-be24-4478-8c9b-5af46c73799a - 1
2022-02-10 10:20:53.032000,dividends,Cash Dividend,CASH_CREDIT,0.03,EUR,75.03,US0378331005,Apple,,,USD,EURUSD,1.14616,,,USD,0.04,0.03,0.01,
2022-02-14 17:29:47.737000,trades,Sell Trade,CASH_CREDIT,12.06,EUR,87.09,US0378331005,Apple,0.080917,168.98,USD,EURUSD,1.13344,-0.44,EUR,,,,,Order Partial Id: 169f1043-6564-4796-bbb4-484b11ed1af5 - 1
2022-02-14 17:29:47.723000,trades,Sell Trade,ASSET_TRADE_SELL,-13.67,USD,,US0378331005,Apple,0.080917,168.93854196,USD,,,-0.44,EUR,,,,,Order Partial Id: 169f1043-6564-4796-bbb4-484b11ed1af5 - 1
2022-02-23 12:17:08.851000,fees,Trading Fee,CASH_DEBIT,-1.0,EUR,86.09,NL0014332678,JDE Peet's,,,,,,,,,,,,Order Id: 68481ce4-1d26-44bc-b106-e6e3f2fa3ab9
2023-05-24 10:29:18.292000,tax,Tob,CASH_DEBIT,-0.34,EUR,85.75,,,,,,,,,,,,,,
2023-07-10 10:03:29.599000,interest,Interest Payment,CASH_CREDIT,0.01,EUR,85.76,,,,,,,,,,,,,,Period: 2023 Q2
2024-04-02 16:35:46.023000,others,Portfolio Transfer,ASSET_REDEEM,-15.62,EUR,,MATIC,Polygon,11.4041,1.36968283,EUR,EUREUR,1.0,0.0,EUR,,,,,
